Name,Population,Household Income,Ratio of Income to Poverty Level,Median Value,State
Alabama,5039877.0,30608.0,4920613.0,172800.0,01
Puerto Rico,3263584.0,14468.0,3235303.0,114100.0,72
Arizona,7276316.0,36295.0,7126930.0,336300.0,04
Arkansas,3025891.0,29252.0,2944289.0,162300.0,05
California,39237836.0,42396.0,38481790.0,648100.0,06
Colorado,5812069.0,44617.0,5696140.0,466200.0,08
Connecticut,3605597.0,48146.0,3506226.0,311500.0,09
Delaware,1003384.0,38797.0,978675.0,300500.0,10
District of Columbia,670050.0,65808.0,637491.0,669900.0,11
Florida,21781128.0,36196.0,21368535.0,290700.0,12
Georgia,10799566.0,35086.0,10529506.0,249700.0,13
Hawaii,1441553.0,38614.0,1402392.0,722500.0,15
Idaho,1900923.0,33841.0,1868374.0,369300.0,16
Illinois,12671469.0,39794.0,12380582.0,231500.0,17
Indiana,6805985.0,33054.0,6608427.0,182400.0,18
Iowa,3193079.0,35715.0,3100317.0,174400.0,19
Kansas,2934582.0,35028.0,2854624.0,183800.0,20
Kentucky,4509394.0,30728.0,4379845.0,173300.0,21
Louisiana,4624047.0,30117.0,4501071.0,192800.0,22
Maine,1372247.0,38483.0,1338019.0,252100.0,23
Maryland,6165129.0,46500.0,6023847.0,370800.0,24
Massachusetts,6984723.0,49746.0,6748410.0,480600.0,25
Michigan,10050811.0,35353.0,9847403.0,199100.0,26
Minnesota,5707390.0,41753.0,5587189.0,285400.0,27
Mississippi,2949965.0,26941.0,2861627.0,145600.0,28
Missouri,6168187.0,34593.0,5999824.0,198300.0,29
Montana,1104271.0,36020.0,1079864.0,322800.0,30
Nebraska,1963692.0,36227.0,1914212.0,204900.0,31
Nevada,3143991.0,34933.0,3103176.0,373000.0,32
New Hampshire,1388992.0,45365.0,1348892.0,345200.0,33
New Jersey,9267130.0,47338.0,9093135.0,389800.0,34
New Mexico,2115877.0,31043.0,2076524.0,214000.0,35
New York,19835913.0,43078.0,19329338.0,368800.0,36
North Carolina,10551162.0,35254.0,10285053.0,236900.0,37
North Dakota,774948.0,36497.0,752033.0,224400.0,38
Ohio,11780017.0,35119.0,11470517.0,180200.0,39
Oklahoma,3986639.0,29969.0,3877776.0,168500.0,40
Oregon,4246155.0,38975.0,4166362.0,422700.0,41
Pennsylvania,12964056.0,38315.0,12571365.0,222300.0,42
Rhode Island,1095610.0,40382.0,1052091.0,348100.0,44
South Carolina,5190705.0,33339.0,5063148.0,213500.0,45
South Dakota,895376.0,35135.0,867039.0,219900.0,46
Tennessee,6975218.0,33904.0,6811613.0,235200.0,47
Texas,29527941.0,34717.0,28933638.0,237400.0,48
Utah,3337975.0,35220.0,3290444.0,421700.0,49
Vermont,645570.0,40016.0,621338.0,271500.0,50
Virginia,8642274.0,43756.0,8401227.0,330600.0,51
Washington,7738692.0,46177.0,7599960.0,485700.0,53
West Virginia,1782959.0,30195.0,1734876.0,143200.0,54
Wisconsin,5895908.0,37221.0,5754788.0,230700.0,55
Wyoming,578803.0,37156.0,565760.0,266400.0,56
Alaska,732673.0,39509.0,716769.0,304900.0,02
